nom,nomlieu,adresse1,adresse2,adresse3,codepostal,commune,etat,longitude,latitude,altitude,geolocalisation_valide,repereplan,complement_adresse,datecreation,datemodification,type,proprietaire
Sculpteur sur bois,"",Le Crêt,"","",74130,Le Petit-Bornand-les-Glières,"",6.396393,46.001100,735,f,,,2003-06-16 00:00:00,2011-09-13 19:55:00.8,COMMERCE_ET_SERVICE,Office de Tourisme Faucigny Glières
Les chemins de fer et bus des Transports Publics du Chablais,"","","","",CH-1860,Aigle,"",,,,f,,,2007-08-03 18:01:53.553,2011-09-14 19:55:00.607,EQUIPEMENT,Sitra
Maréchal ferrant,"",Le Bicheron,"","",01480,Fareins,"",,,,f,,,2007-08-29 10:11:21.373,2011-09-14 19:55:00.607,COMMERCE_ET_SERVICE,Office de tourisme Ars-Trévoux
Terrain d'atterrissage de la Michaille,"","","","",74220,La Clusaz,"",6.439722,45.881667,1264,t,,"Carte IGN 3430 ET. En voiture à 300 m de la gare de départ du téléphérique de l'Etale.",2007-08-06 10:06:57.37,2011-12-23 19:55:00.723,EQUIPEMENT,Office de Tourisme de La Clusaz
ACECAM,"",Z.A. La Gravière,"","",01480,Fareins,"",4.757037,46.005696,222,t,,,2007-08-07 10:39:14.69,2011-09-14 19:55:00.607,COMMERCE_ET_SERVICE,Office de tourisme Ars-Trévoux
Devant Michel,"","",Les Fontaines,"",74300,Châtillon-sur-Cluses,"",,,,f,,,2007-11-17 16:18:05.533,2014-11-19 14:07:50.506,HEBERGEMENT_LOCATIF,Office de tourisme de Morillon
Bontems Jean-Marc - Zingueur,"","959, l'Essert","","",74130,Le Petit-Bornand-les-Glières,"",6.389108,45.988405,768,t,,,2008-01-02 10:34:39.407,2014-09-18 19:40:42.497,COMMERCE_ET_SERVICE,Office de Tourisme Faucigny Glières
Office Municipal des Sports,"",Villa des Alpes,"5, rue Doyen Gosse","",38700,La Tronche,"",5.749867,45.204838,238,t,,,2008-09-12 16:08:54.053,2011-09-19 19:55:00.423,COMMERCE_ET_SERVICE,Office de Tourisme de Grenoble-Alpes Métropole
Boulangerie Sellier,"",le Village,"","",07290,Saint-Jeure-d'Ay,"",4.706029,45.146200,476,t,,,2007-02-07 15:53:21.713,2011-09-17 19:55:00.61,COMMERCE_ET_SERVICE,Office de Tourisme de Lalouvesc et du Val d'Ay
Transport en bus,"",Place de l'hôtel de ville,"","",07410,Saint-Félicien,"",4.627787,45.086793,,t,,,2009-01-20 10:25:36.103,2015-03-25 18:14:02.916,COMMERCE_ET_SERVICE,Office de Tourisme Saint-Félicien
Les Ateliers du Terraly,"",Montée du Lavoir,"","",42520,Véranne,"",4.661722,45.368097,,t,,,2007-06-27 20:24:03.197,2015-03-25 18:14:04.748,COMMERCE_ET_SERVICE,Parc naturel régional du Pilat
L'Agneau du Pilat,"",Avaize,"","",42740,La Terrasse-sur-Dorlay,"",4.572459,45.456582,551,t,,,2007-06-27 20:23:30.523,2015-03-25 18:14:04.896,DEGUSTATION,Parc naturel régional du Pilat
Mairie,"",Croix Blanche,"","",71570,Pruzilly,"",4.696249,46.257519,,t,,,2009-09-02 14:48:29.893,2015-03-25 18:14:06.409,COMMERCE_ET_SERVICE,Syndicat d'Initiative de Crêches
