duplicate_id,name,duplicate,original_id,postal_code,town,
845 416,A.P.C.,,,69290,Craponne,
854 393,Agence d'urbanisme de l'aire métropolitaine lyonnaise,OUI,65973,69003,Lyon 3ème,
843 884,Aimer Lire à Chassieu,,,69680,Chassieu,
845 176,Albiniaca,,,69250,Albigny-sur-Saône,
851 308,Amis de Saint Martin d'Ainay,,,69002,Lyon 2ème,
846 497,Amnesty International,OUI,76974,69100,Villeurbanne,
837 052,Ancien garage du Méridien,,,69260,Charbonnières-les-Bains,
845 244,Arbore Dorure,,,69001,Lyon 1er,
841 717,Archives municipales de Meyzieu,,,69330,Meyzieu,
835 051,Archives Municipales de Saint-Priest,,,69800,Saint-Priest,
843 714,Artothèque de Saint-Priest,,,69800,Saint-Priest,
843 709,association  les amis de l'église Notre Dame Saint Vincent,,,69001,Lyon 1er,
845 213,"Association ""Sathn'nâ Histoire et Patrimoine""",,,69580,Sathonay-Village,
845 217,Association Brin d'Gill',,,69007,Lyon 7ème,
848 098,Association Cavaille-Coll à Saint- François,,,69002,Lyon 2ème,
835 493,Association Comité de Jumelage de Pierre-Bénite,,,69310,Pierre-Bénite,
839 072,association culturelle St Nicolas,,,69700,Givors,
843 459,Association de Sauvegarde de la Chapelle Sainte Philomène <<Aux Lazaristes>>,,,69005,Lyon 5ème,
843 054,association de sauvegarde des lavoirs et du petit patrimoine,,,69760,Limonest,
839 521,Association de sauvegarde et restauration du site de Saint Martin de Cornas,,,69700,Givors,
843 353,Association des Amis de l'église St-Paul,,,69005,Lyon 5ème,
843 787,Association du Clos Saint-Benoît,,,69001,Lyon 1er,
839 497,"association Eglise Saint-Bruno, Splendeur du Baroque",,,69001,Lyon 1er,
842 880,Association la pie verte et mairie de Poleymieux au Mont d'Or,OUI,168747,69250,Poleymieux-au-Mont-d'Or,
843 024,Association Les amis de l'église Saint- Nizier,,,69002,Lyon 2ème,
843 472,Association Les Coteaux De Montray,,,69110,Sainte-Foy-lès-Lyon,
841 737,association Limonest Patrimoine,,,69760,Limonest,
