name,adresse1,postal_code,commune,city,latitude,longitude,phone,email,website,access,epoque,descriptif
Château d'Albigny,Montée du Vieux château,69250,Albigny-sur-Saône,,45.873054,4.828918,,,,Bus 43 : Albigny centre / Gare d'Albigny-sur-Saône,XIIe ,"Château fort construit à partir de 1173, reposant sur une motte castrale."
Maison de l'accueil,2 rue Jean Chirat (D 51),69250,Albigny-sur-Saône,,45.865482,4.832073,,,,Bus 43 : Albigny Centre,XVIIIe ,"Maison des champs datant du début du XVIIIe siècle, dont les murs du salon ont été peints à la détrempe par Daniel Sarrabat en 1710. Ces sept panneaux racontent l'histoire d'Esther."
Eglise,17 rue Germain,69250,Albigny-sur-Saône,,45.865594,4.832208,,,,Bus 43 : Albigny Centre,,
Musée,17 rue Victor Hugo,38300,Bourgoin-Jallieu,Bourgoin-Jallieu,45.586636,5.279068,,,,,,
 Aéromusée de la région lyonnaise,"Fort de Bron - Chemin vieux, avenue de Lattre de Tassigny",69500,Bron,,45.731464,4.917730,,,,"T2, T5 : Les Alizés - Bus C15 : Fort de Bron",XIXe ,Musée et exposition dans deux salles voûtées du fort de Bron.
Lyon Bron Open Lab,215 boulevard Pinel,69500,Bron,,45.731659,4.888219,,,,Métro : Mermoz-Pinel (proche de l'entrée des Galeries Lafayette),XXIe ,"L’Open Lab est un espace de rencontre, de conception, de création, de construction et d’exposition au travers d’animations ludiques dans un esprit co-créatif.Un laboratoire urbain qui accompagne le chantier SYTRAL, puis l'extension à venir des Galeries Lafayette de Lyon Bron."
MJC Louis Aragon,Place Gaillard Romanet,69500,Bron,,45.742248,4.908248,,,,Bus : C17 arrêt Marne-Lacouture,XXIe ,"Véritable laboratoire citoyen de fabrication, la Fabrique d'Objets Libres met à disposition de ses adhérents des outils à commande numérique et des matières premières secondaires permettant de concevoir des objets libres. "
Musée François-Saïssi,87 avenue Ferdinand Buisson,69500,Bron,,45.738710,4.917161,,,,Tram T2 : arrêt Les alizés. Bus C15 : De Tassigny-Curial,,"Centre d’histoire des Anciens combattants, résistants et victimes de guerre."
Fort de Bron,"Chemin vieux, avenue de Lattre de Tassigny",69500,Bron,,45.731464,4.917730,,,,"T2, T5 : Les Alizés - Bus C15 : Fort de Bron",,"Fort Séré de Rivière, construit à partir de 1874, maillon de la ceinture militaire de Lyon"
Atelier de ferronnerie d'Art Gilles Tavernier,185 route du Grand Guillermet,69270,Cailloux-sur-Fontaines,,45.854746,4.870244,,,,Bus 77 : Cailloux Centre,XXe ,L’atelier de trois générations de maréchal-ferrant s'oriente définitivement aujourd'hui vers la Ferronnerie d'Art.
