descriptif,name,adresse1,adresse2,town,postal_code
"Le bouquetin des Alpes est ici à l'honneur, sa sauvegarde, sa morphologie, son habitat et son alimentation au fil des saisons, sa vie sociale, ses prédateurs, son suivi scientifique dans le massif de Belledonne sont autant de thèmes abordés. Cet espace retrace également la disparation en novembre 1944 du grand maréchal de l'air britannique, Sir Trafford Leigh-Mallory, lors d'un mystérieux accident d'avion au dessus du RIvier-d'Allemont.",Musée du Rivier / Espace York-Mallory,Le Rivier d'Allemont,route des cols,Allemont,38114
"Région industrielle marquée dès le Moyen Âge par l’exploitation des mines de fer puis par l’essor des industries métallurgiques, le pays d’Allevard se distingue également par son activité thermale. A travers de riches collections, le musée témoigne de ces deux pôles, industriel et thermal, qui ont façonnés le territoire ainsi que des débuts du ski dans le massif de Belledonne.",Musée d'Allevard,Parc des Forges,,Allevard-les-Bains,38580
"Le site archéologique médiéval de Brandes, classé au titre des Monuments historiques, est un village de mineurs d'argent.Il a été peuplé du XIIe au XIVe siècle. C’est encore aujourd’hui le plus haut village médiéval d'Europe connu, lié à l'exploitation d'une mine d'argent.
Le site s’étend sur près d’un kilomètre et constitue un bel aperçu de l’organisation d’un village avec ses habitations, ses symboles du pouvoir religieux (église St Nicolas) et civil (Shell-keep), ses quartiers de travail (ateliers de broyage, concassage et lavage).",Site Archéologique des Mines de Brandes en Oisans,Quartier de Brandes,,Alpe d'Huez,38750
Cette chapelle faisait partie au XVe siècle d'un ancien hôpital où l'on recevait les pauvres et les malades. Elle a été restaurée en 1987. Explications sur son importance durant les siècles et sur sa restauration.,Chapelle Notre-Dame-de-Pitié,Vieux village,,Anjou,38150
"La safranière est l’exploitation dédiée à la culture du safran. Cette épice est cultivée sans apport (engrais ou pesticides), ce qui en fait un produit totalement naturel, et selon des techniques ancestrales.",La Safranière / Safran Extravagant,3 chemin des Oches,,Anjou,38150
"La tour est le vestige d'un vieux château-fort détruit après la Révolution. Exposition sur l'historique de la tour dans la salle du bas. Dans la chapelle, explications sur son importance durant les siècles et sur sa restauration.",La Tour,Vieux village,,Anjou,38150
"Située au bas du village, l'église de la Transfiguration construite en 1842 possède trois cloches dont une de 1666. Elle possède aussi de magnifiques vitraux de la fin du XIXe siècle.",Eglise de la Transfiguration,Village du bas,,Anjou,38150
"Témoin d'un art de vivre à la française, cet ancien château du XVIIIe siècle dévoile des perspectives axées sur les jardins dessinés par Henri et Achille Duchêne. Ces deux architectes-paysagistes travaillèrent à la charnière des XIXe et XXe siècles, créant de nombreux parcs et jardins jusqu'en Californie, créant, transformant ou modernisant de nombreux châteaux. Leur travail à Anjou n'est pas celui d'un simple architecte, ils transforment le château en un grand théâtre de la vie mondaine. Alors que les bâtiments se modifient, les dix hectares du parc se couvrent de folies et de jardins thématiques, ruines de Pâris, grotte d'Aphrodite.",Château d'Anjou,15 - 17 chemin de l'Eglise,,Anjou,38150
Chapelle à simple nef rectangulaire prolongée par une travée de chœur donnant sur une abside en hémicycle couverte en cul-à-four. Cet édifice a conservé des parties médiévales.,Chapelle Saint-Didier,Hameau de Saint-Didier,,Aoste,38490
"Le musée présente une riche collection d’objets et témoignages archéologiques retraçant la ville antique de Vicus Augustus. Un parcours continu plonge le visiteur dans la vie de ses ancêtres gallo-romains, il y a plus de 2 000 ans, permettant notamment d’admirer le travail délicat des artisans potiers et verriers.",Musée Gallo-Romain,43 place du Musée,,Aoste,38490
Atelier de création et de fabrication de bijoux fantaisie.,Atelier Néocelle,16 rue de la Varèze,,Assieu,38150
"A l’Est de hautes falaises aux sommets plus ou moins accessibles offrent une vue imprenable sur les massifs de Belledonne, de l’Oisans et du Dévoluy. A l’Ouest, l’eau a taillé des grottes et des gorges profondes qui descendent vers le Royans et la Vallée de La Vernaison. Les plateaux boisés et les vallons abritent une flore et une faune très riches. Au fil des saisons, au détour d’un sentier, sur la pente d’un pierrier, les randonneurs peuvent apercevoir chamois et bouquetins, admirer le lys martagon ou encore le sabot de Vénus.",Val d'Autrans - Les crêtes de Bellecombe et de Charande,,,Autrans,38880
"Il faut imaginer à l’origine un manoir ou une maison forte implanté au cœur d’un domaine agricole. Il occupait alors une position stratégique proche du pont qui, en franchissant le Drac, reliait le Trièves à la Matheysine. Il a reçu le label « Patrimoine en Isère », du Département.",Château d'Ars,Accès depuis le hameau des Cattiers,,Avignonet,38650
"Cet édifice est composé d'une nef unique surmontée d'un clocher peigne est régulièrement visité par les pèlerins de Saint-Jacques-de-Compostelle. Il est immortalisé par une huile sur toile de Jongkind (1888), intitulée «Cimetière de Balbins». Petite exposition permanente sur Jongkind et sur les origines de la chapelle.",Chapelle Saint-Michel,Chemin de la chapelle,Impasse des Tilleuls,Balbins,38260
"Construit en 1597, il est un exemple caractéristique de fortification bastionnée marquée par l’empreinte de Vauban à la fin du XVIIe siècle. Érigé pour accomplir une fonction dissuasive, il servit successivement de caserne, de prison et d’entrepôt de munitions. Il est classé au titre des Monuments historiques.",Fort Barraux,,,Barraux,38530
Les bâtiments restaurés d’un ancien prieuré s’organisent autour d’une chapelle dont certains éléments remonteraient au XIIe siècle.,Notre -Dame de la Parménie,Col de Parménie,,Beaucroissant,38140
